"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game21","19","mate_in_5","0","White","1000","Thompson Sampling","X1",64.7247033080002,9,10
"game26","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",63.3038151159999,9,11
"game4","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",63.89883065,9,11
"game24","5","mate_in_5","0","White","1000","Thompson Sampling","X1",62.1469660750008,9,-4
"game8","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",61.7259342860002,9,11
"game12","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",62.9258116880001,9,11
"game11","5","mate_in_5","0","White","1000","Thompson Sampling","X1",63.7717849569999,9,-4
"game19","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",62.2659181889994,9,11
"game9","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",62.364540603,9,11
"game3","9","mate_in_5","0","White","1000","Thompson Sampling","X1",64.326086197,9,0
"game20","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",62.9345688899994,9,11
"game7","9","mate_in_5","0","White","1000","Thompson Sampling","X1",62.3404836560001,9,0
"game6","3","mate_in_5","0","White","1000","Thompson Sampling","X1",62.294172587,9,-6
"game23","3","mate_in_5","0","White","1000","Thompson Sampling","X1",62.6885927460007,9,-6
"game13","3","mate_in_5","0","White","1000","Thompson Sampling","X1",63.0622800890005,9,-6
"game10","5","mate_in_5","0","White","1000","Thompson Sampling","X1",62.957983149,9,-4
"game2","19","mate_in_5","0","White","1000","Thompson Sampling","X1",63.90532769,9,10
"game15","17","mate_in_5","0","White","1000","Thompson Sampling","X1",62.5952005609997,9,8
"game18","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",61.7419275049997,9,11
"game29","5","mate_in_5","0","White","1000","Thompson Sampling","X1",61.6918094310004,9,-4
"game25","7","mate_in_5","0","White","1000","Thompson Sampling","X1",61.9865426300003,9,-2
"game5","5","mate_in_5","0","White","1000","Thompson Sampling","X1",62.5514854339999,9,-4
"game27","7","mate_in_5","0","White","1000","Thompson Sampling","X1",62.2576639210001,9,-2
"game17","3","mate_in_5","0","White","1000","Thompson Sampling","X1",63.2897668549995,9,-6
"game1","3","mate_in_5","0","White","1000","Thompson Sampling","X1",63.439998128,9,-6
"game0","3","mate_in_5","0","White","1000","Thompson Sampling","X1",63.434161117,9,-6
"game28","19","mate_in_5","0","White","1000","Thompson Sampling","X1",64.0245581580002,9,10
"game14","3","mate_in_5","0","White","1000","Thompson Sampling","X1",63.3538817210001,9,-6
"game22","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",61.4632923079998,9,11
"game16","20","mate_in_5","0","draw","1000","Thompson Sampling","X1",60.9666874940003,9,11
"game21","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",86.5032169490005,7,13
"game26","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",85.117907566997,7,13
"game4","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.3279424410011,7,13
"game24","15","mate_in_4","0","White","1000","Thompson Sampling","X1",83.9565202539998,7,8
"game8","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",85.3153554899982,7,13
"game12","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",85.213327442998,7,13
"game11","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.7544236299982,7,13
"game19","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",85.6353827160019,7,13
"game9","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.9995039309979,7,13
"game3","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.4150768849995,7,13
"game20","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",83.0999737019993,7,13
"game7","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",85.089305468,7,13
"game6","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",83.9267273559999,7,13
"game23","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.6703438479999,7,13
"game13","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.122202808001,7,13
"game10","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.5116389940013,7,13
"game2","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",83.5847931040007,7,13
"game15","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.7006211850021,7,13
"game18","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",83.5363008370005,7,13
"game29","19","mate_in_4","0","White","1000","Thompson Sampling","X1",85.2401441280017,7,12
"game25","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.6410688329997,7,13
"game5","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",83.9348813640008,7,13
"game27","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",83.3054439629996,7,13
"game17","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.1006000689995,7,13
"game1","9","mate_in_4","0","White","1000","Thompson Sampling","X1",83.9463160030009,7,2
"game0","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",83.6040048480008,7,13
"game28","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",82.4518004070014,7,13
"game14","11","mate_in_4","0","White","1000","Thompson Sampling","X1",82.5448229850008,7,4
"game22","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",81.799622579998,7,13
"game16","20","mate_in_4","0","draw","1000","Thompson Sampling","X1",84.5149368929997,7,13
"game21","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",63.4506579240042,3,17
"game26","9","mate_in_2","1","White","1000","Thompson Sampling","X1",65.878449419004,3,6
"game4","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",60.3066261249987,3,17
"game24","9","mate_in_2","1","White","1000","Thompson Sampling","X1",67.9604466059973,3,6
"game8","5","mate_in_2","1","White","1000","Thompson Sampling","X1",62.0391107579999,3,2
"game12","5","mate_in_2","1","White","1000","Thompson Sampling","X1",62.4068902580038,3,2
"game11","5","mate_in_2","1","White","1000","Thompson Sampling","X1",62.3231143900048,3,2
"game19","11","mate_in_2","1","White","1000","Thompson Sampling","X1",62.3878371909959,3,8
"game9","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",67.3615801409978,3,17
"game3","19","mate_in_2","1","White","1000","Thompson Sampling","X1",59.9699557679996,3,16
"game20","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",66.775539258997,3,17
"game7","5","mate_in_2","1","White","1000","Thompson Sampling","X1",62.5686182849968,3,2
"game6","13","mate_in_2","1","White","1000","Thompson Sampling","X1",64.7252160999997,3,10
"game23","3","mate_in_2","1","White","1000","Thompson Sampling","X1",64.0349813150024,3,0
"game13","9","mate_in_2","1","White","1000","Thompson Sampling","X1",62.0391793420058,3,6
"game10","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",64.3363766840048,3,17
"game2","11","mate_in_2","1","White","1000","Thompson Sampling","X1",64.9902049269949,3,8
"game15","8","mate_in_2","1","Black","1000","Thompson Sampling","X1",65.8892718010029,3,5
"game18","3","mate_in_2","1","White","1000","Thompson Sampling","X1",61.4896284119968,3,0
"game29","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",62.917384776003,3,17
"game25","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",64.6223775429971,3,17
"game5","9","mate_in_2","1","White","1000","Thompson Sampling","X1",62.3167306260002,3,6
"game27","11","mate_in_2","1","White","1000","Thompson Sampling","X1",64.3216564329996,3,8
"game17","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",60.8718032800025,3,17
"game1","15","mate_in_2","1","White","1000","Thompson Sampling","X1",62.1514369389988,3,12
"game0","5","mate_in_2","1","White","1000","Thompson Sampling","X1",62.6019645629931,3,2
"game28","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",61.656873456006,3,17
"game14","20","mate_in_2","1","draw","1000","Thompson Sampling","X1",64.8284833920043,3,17
"game22","17","mate_in_2","1","White","1000","Thompson Sampling","X1",62.0348511249977,3,14
"game16","11","mate_in_2","1","White","1000","Thompson Sampling","X1",61.2808364640005,3,8
"game21","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.82006916200044,1,0
"game26","1","mate_in_1","1","White","1000","Thompson Sampling","X1",3.10619835199759,1,0
"game4","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.88540064299741,1,0
"game24","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.84032393700181,1,0
"game8","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.57012059400586,1,0
"game12","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.98627568499796,1,0
"game11","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.84421848300553,1,0
"game19","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.08302907199686,1,0
"game9","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.9623470850056,1,0
"game3","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.90596468900185,1,0
"game20","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.98112154899718,1,0
"game7","1","mate_in_1","1","White","1000","Thompson Sampling","X1",3.88708221299748,1,0
"game6","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.07763416899979,1,0
"game23","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.94318681999721,1,0
"game13","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.01779738100595,1,0
"game10","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.28779177999968,1,0
"game2","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.23020153600373,1,0
"game15","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.86741638699459,1,0
"game18","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.94641273600428,1,0
"game29","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.37462026299909,1,0
"game25","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.8618790210021,1,0
"game5","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.95052971499535,1,0
"game27","1","mate_in_1","1","White","1000","Thompson Sampling","X1",2.57419207299972,1,0
"game17","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.7522680500042,1,0
"game1","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.98321647100238,1,0
"game0","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.99161047300004,1,0
"game28","1","mate_in_1","1","White","1000","Thompson Sampling","X1",3.23635520099924,1,0
"game14","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.91933072299435,1,0
"game22","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.94801672700123,1,0
"game16","1","mate_in_1","1","White","1000","Thompson Sampling","X1",1.97074815499946,1,0
"game21","5","mate_in_3","1","White","1000","Thompson Sampling","X1",46.6057548200042,5,0
"game26","5","mate_in_3","1","White","1000","Thompson Sampling","X1",32.2838558590011,5,0
"game4","19","mate_in_3","1","White","1000","Thompson Sampling","X1",51.3476730799885,5,14
"game24","9","mate_in_3","1","White","1000","Thompson Sampling","X1",51.6819680129993,5,4
"game8","9","mate_in_3","1","White","1000","Thompson Sampling","X1",51.789312465,5,4
"game12","15","mate_in_3","1","White","1000","Thompson Sampling","X1",51.0084688909992,5,10
"game11","17","mate_in_3","1","White","1000","Thompson Sampling","X1",52.091463905992,5,12
"game19","19","mate_in_3","1","White","1000","Thompson Sampling","X1",51.7535360149923,5,14
"game9","3","mate_in_3","1","White","1000","Thompson Sampling","X1",51.4918810429954,5,-2
"game3","20","mate_in_3","1","draw","1000","Thompson Sampling","X1",49.6153410619881,5,15
"game20","13","mate_in_3","1","White","1000","Thompson Sampling","X1",51.9231861370063,5,8
"game7","5","mate_in_3","1","White","1000","Thompson Sampling","X1",48.7380458239932,5,0
"game6","20","mate_in_3","1","draw","1000","Thompson Sampling","X1",52.0205068629875,5,15
"game23","5","mate_in_3","1","White","1000","Thompson Sampling","X1",51.3964424580045,5,0
"game13","13","mate_in_3","1","White","1000","Thompson Sampling","X1",51.6129971190094,5,8
"game10","13","mate_in_3","1","White","1000","Thompson Sampling","X1",50.856612795993,5,8
"game2","5","mate_in_3","1","White","1000","Thompson Sampling","X1",50.5461736229918,5,0
"game15","20","mate_in_3","1","draw","1000","Thompson Sampling","X1",51.7947763850098,5,15
"game18","20","mate_in_3","1","draw","1000","Thompson Sampling","X1",52.5933395989996,5,15
"game29","13","mate_in_3","1","White","1000","Thompson Sampling","X1",54.5886515989987,5,8
"game25","11","mate_in_3","1","White","1000","Thompson Sampling","X1",51.8355515809963,5,6
"game5","7","mate_in_3","1","White","1000","Thompson Sampling","X1",50.6804360230017,5,2
"game27","20","mate_in_3","1","draw","1000","Thompson Sampling","X1",52.5927307599923,5,15
"game17","20","mate_in_3","1","draw","1000","Thompson Sampling","X1",50.9717359029892,5,15
"game1","9","mate_in_3","1","White","1000","Thompson Sampling","X1",50.9339890219999,5,4
"game0","15","mate_in_3","1","White","1000","Thompson Sampling","X1",51.8064592459996,5,10
"game28","20","mate_in_3","1","draw","1000","Thompson Sampling","X1",51.815733254989,5,15
"game14","5","mate_in_3","1","White","1000","Thompson Sampling","X1",52.5682797829941,5,0
"game22","5","mate_in_3","1","White","1000","Thompson Sampling","X1",53.5368883170013,5,0
"game16","15","mate_in_3","1","White","1000","Thompson Sampling","X1",51.8002803669951,5,10
"game21","19","mate_in_5","0","White","1000","Thompson Sampling","X2",64.3581248629998,9,10
"game26","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",62.3460409689997,9,11
"game4","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",62.1686808100001,9,11
"game24","5","mate_in_5","0","White","1000","Thompson Sampling","X2",61.4643422240006,9,-4
"game8","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",61.1454997549999,9,11
"game12","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",63.3263198579998,9,11
"game11","5","mate_in_5","0","White","1000","Thompson Sampling","X2",60.2013834509999,9,-4
"game19","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",62.5359781140005,9,11
"game9","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",62.8759964189999,9,11
"game3","9","mate_in_5","0","White","1000","Thompson Sampling","X2",61.745569426,9,0
"game20","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",63.675437938,9,11
"game7","9","mate_in_5","0","White","1000","Thompson Sampling","X2",63.423616005,9,0
"game6","3","mate_in_5","0","White","1000","Thompson Sampling","X2",6.76068617500005,9,-6
"game23","3","mate_in_5","0","White","1000","Thompson Sampling","X2",7.1315088120009,9,-6
"game13","3","mate_in_5","0","White","1000","Thompson Sampling","X2",7.75201830800052,9,-6
"game10","5","mate_in_5","0","White","1000","Thompson Sampling","X2",61.5406107610002,9,-4
"game2","19","mate_in_5","0","White","1000","Thompson Sampling","X2",63.57317836,9,10
"game15","17","mate_in_5","0","White","1000","Thompson Sampling","X2",56.9624577080003,9,8
"game18","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",62.955257953,9,11
"game29","5","mate_in_5","0","White","1000","Thompson Sampling","X2",61.6939612630013,9,-4
"game25","7","mate_in_5","0","White","1000","Thompson Sampling","X2",64.8058189849999,9,-2
"game5","5","mate_in_5","0","White","1000","Thompson Sampling","X2",62.6823634899999,9,-4
"game27","7","mate_in_5","0","White","1000","Thompson Sampling","X2",63.1022274509996,9,-2
"game17","3","mate_in_5","0","White","1000","Thompson Sampling","X2",7.95295792300021,9,-6
"game1","3","mate_in_5","0","White","1000","Thompson Sampling","X2",6.75695924600001,9,-6
"game0","3","mate_in_5","0","White","1000","Thompson Sampling","X2",6.91464291999999,9,-6
"game28","19","mate_in_5","0","White","1000","Thompson Sampling","X2",64.3783077900007,9,10
"game14","3","mate_in_5","0","White","1000","Thompson Sampling","X2",8.22810468599982,9,-6
"game22","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",63.787800006,9,11
"game16","20","mate_in_5","0","draw","1000","Thompson Sampling","X2",62.893581116,9,11
"game21","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",86.8716052719974,7,13
"game26","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",82.158895337001,7,13
"game4","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",84.3473712820014,7,13
"game24","15","mate_in_4","0","White","1000","Thompson Sampling","X2",86.6376932470012,7,8
"game8","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.2496461420014,7,13
"game12","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.8635189569977,7,13
"game11","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.640673730999,7,13
"game19","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.2016183300002,7,13
"game9","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",84.9038996769996,7,13
"game3","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",82.3283785179992,7,13
"game20","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",81.9216498850001,7,13
"game7","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.454976813,7,13
"game6","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",81.5426900599996,7,13
"game23","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",84.2279664749985,7,13
"game13","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",81.6911113969982,7,13
"game10","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.6769122730002,7,13
"game2","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",82.7643241289989,7,13
"game15","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",80.590281277,7,13
"game18","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",84.8763417089976,7,13
"game29","19","mate_in_4","0","White","1000","Thompson Sampling","X2",78.9061075489954,7,12
"game25","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.2204345159989,7,13
"game5","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",84.2313370009997,7,13
"game27","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.1320831960002,7,13
"game17","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",85.1657238259977,7,13
"game1","9","mate_in_4","0","White","1000","Thompson Sampling","X2",80.3660465009998,7,2
"game0","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",81.7092266389991,7,13
"game28","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",82.1737261799972,7,13
"game14","11","mate_in_4","0","White","1000","Thompson Sampling","X2",83.3934796549984,7,4
"game22","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",84.021617350998,7,13
"game16","20","mate_in_4","0","draw","1000","Thompson Sampling","X2",84.0220682790023,7,13
"game21","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",64.306271554,3,17
"game26","9","mate_in_2","1","White","1000","Thompson Sampling","X2",57.0222791479973,3,6
"game4","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",61.7075994049956,3,17
"game24","9","mate_in_2","1","White","1000","Thompson Sampling","X2",62.7491592049992,3,6
"game8","5","mate_in_2","1","White","1000","Thompson Sampling","X2",62.5032574180004,3,2
"game12","5","mate_in_2","1","White","1000","Thompson Sampling","X2",58.8273887960022,3,2
"game11","5","mate_in_2","1","White","1000","Thompson Sampling","X2",58.7893736109982,3,2
"game19","11","mate_in_2","1","White","1000","Thompson Sampling","X2",63.4805328439979,3,8
"game9","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",62.4045519530046,3,17
"game3","19","mate_in_2","1","White","1000","Thompson Sampling","X2",60.1591663360014,3,16
"game20","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",66.2621764949945,3,17
"game7","5","mate_in_2","1","White","1000","Thompson Sampling","X2",63.7936633599966,3,2
"game6","13","mate_in_2","1","White","1000","Thompson Sampling","X2",62.0430078939971,3,10
"game23","3","mate_in_2","1","White","1000","Thompson Sampling","X2",10.1766654220046,3,0
"game13","9","mate_in_2","1","White","1000","Thompson Sampling","X2",61.7692544239981,3,6
"game10","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",62.4795712220002,3,17
"game2","11","mate_in_2","1","White","1000","Thompson Sampling","X2",62.3776255869961,3,8
"game15","8","mate_in_2","1","Black","1000","Thompson Sampling","X2",60.2813827930004,3,5
"game18","3","mate_in_2","1","White","1000","Thompson Sampling","X2",10.0526605630002,3,0
"game29","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",68.2058821059982,3,17
"game25","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",61.4691015770004,3,17
"game5","9","mate_in_2","1","White","1000","Thompson Sampling","X2",62.5033189940004,3,6
"game27","11","mate_in_2","1","White","1000","Thompson Sampling","X2",63.0188542179967,3,8
"game17","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",64.4499026280027,3,17
"game1","15","mate_in_2","1","White","1000","Thompson Sampling","X2",61.4750815169973,3,12
"game0","5","mate_in_2","1","White","1000","Thompson Sampling","X2",62.0215451230033,3,2
"game28","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",61.7166774610014,3,17
"game14","20","mate_in_2","1","draw","1000","Thompson Sampling","X2",62.6421976450001,3,17
"game22","17","mate_in_2","1","White","1000","Thompson Sampling","X2",64.5581101709977,3,14
"game16","11","mate_in_2","1","White","1000","Thompson Sampling","X2",59.8962559470019,3,8
"game21","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game26","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game4","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game24","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game8","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game12","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game11","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game19","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game9","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game3","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game20","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game7","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game6","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game23","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game13","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game10","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game2","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game15","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game18","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game29","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game25","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game5","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game27","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game17","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game1","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game0","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game28","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game14","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game22","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game16","1","mate_in_1","1","White","1000","Thompson Sampling","X2",0,1,0
"game21","5","mate_in_3","1","White","1000","Thompson Sampling","X2",35.3179290699918,5,0
"game26","5","mate_in_3","1","White","1000","Thompson Sampling","X2",42.6142542460002,5,0
"game4","19","mate_in_3","1","White","1000","Thompson Sampling","X2",50.0236309259926,5,14
"game24","9","mate_in_3","1","White","1000","Thompson Sampling","X2",50.6385247199942,5,4
"game8","9","mate_in_3","1","White","1000","Thompson Sampling","X2",53.1276014519972,5,4
"game12","15","mate_in_3","1","White","1000","Thompson Sampling","X2",52.0439841579937,5,10
"game11","17","mate_in_3","1","White","1000","Thompson Sampling","X2",53.0122239909979,5,12
"game19","19","mate_in_3","1","White","1000","Thompson Sampling","X2",50.8004500020033,5,14
"game9","3","mate_in_3","1","White","1000","Thompson Sampling","X2",4.66359289300453,5,-2
"game3","20","mate_in_3","1","draw","1000","Thompson Sampling","X2",48.9522323380079,5,15
"game20","13","mate_in_3","1","White","1000","Thompson Sampling","X2",51.974935598002,5,8
"game7","5","mate_in_3","1","White","1000","Thompson Sampling","X2",26.8963524179999,5,0
"game6","20","mate_in_3","1","draw","1000","Thompson Sampling","X2",51.4115826460038,5,15
"game23","5","mate_in_3","1","White","1000","Thompson Sampling","X2",51.4152070429991,5,0
"game13","13","mate_in_3","1","White","1000","Thompson Sampling","X2",53.3719609929976,5,8
"game10","13","mate_in_3","1","White","1000","Thompson Sampling","X2",49.8925975499878,5,8
"game2","5","mate_in_3","1","White","1000","Thompson Sampling","X2",37.4995285149926,5,0
"game15","20","mate_in_3","1","draw","1000","Thompson Sampling","X2",51.0189790760051,5,15
"game18","20","mate_in_3","1","draw","1000","Thompson Sampling","X2",52.641639634996,5,15
"game29","13","mate_in_3","1","White","1000","Thompson Sampling","X2",55.552818148004,5,8
"game25","11","mate_in_3","1","White","1000","Thompson Sampling","X2",51.8652376050013,5,6
"game5","7","mate_in_3","1","White","1000","Thompson Sampling","X2",48.2682141230034,5,2
"game27","20","mate_in_3","1","draw","1000","Thompson Sampling","X2",51.9890337950055,5,15
"game17","20","mate_in_3","1","draw","1000","Thompson Sampling","X2",50.1236192979995,5,15
"game1","9","mate_in_3","1","White","1000","Thompson Sampling","X2",51.8336175289878,5,4
"game0","15","mate_in_3","1","White","1000","Thompson Sampling","X2",52.5987468700041,5,10
"game28","20","mate_in_3","1","draw","1000","Thompson Sampling","X2",55.4277158250043,5,15
"game14","5","mate_in_3","1","White","1000","Thompson Sampling","X2",51.0950537890021,5,0
"game22","5","mate_in_3","1","White","1000","Thompson Sampling","X2",52.4411258519976,5,0
"game16","15","mate_in_3","1","White","1000","Thompson Sampling","X2",48.545445508993,5,10
"game21","19","mate_in_5","0","White","1000","Thompson Sampling","X3",60.6578076670003,9,10
"game26","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",62.7327266459997,9,11
"game4","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",63.9018498320002,9,11
"game24","5","mate_in_5","0","White","1000","Thompson Sampling","X3",7.55267936999917,9,-4
"game8","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",62.3210133460002,9,11
"game12","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",63.662455618,9,11
"game11","5","mate_in_5","0","White","1000","Thompson Sampling","X3",6.99051403899966,9,-4
"game19","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",62.8055824809999,9,11
"game9","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",62.1089797150003,9,11
"game3","9","mate_in_5","0","White","1000","Thompson Sampling","X3",58.870131387,9,0
"game20","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",65.7205533749993,9,11
"game7","9","mate_in_5","0","White","1000","Thompson Sampling","X3",61.785976594,9,0
"game6","3","mate_in_5","0","White","1000","Thompson Sampling","X3",0,9,-6
"game23","3","mate_in_5","0","White","1000","Thompson Sampling","X3",0,9,-6
"game13","3","mate_in_5","0","White","1000","Thompson Sampling","X3",0,9,-6
"game10","5","mate_in_5","0","White","1000","Thompson Sampling","X3",6.40424336999968,9,-4
"game2","19","mate_in_5","0","White","1000","Thompson Sampling","X3",64.162865907,9,10
"game15","17","mate_in_5","0","White","1000","Thompson Sampling","X3",57.9716655979992,9,8
"game18","20","mate_in_5","0","draw","1000","Thompson Sampling","X3",59.4383252289999,9,11
